filename,cik,name,address,city,state,zip,ticker,exchange,subsidiaries
03/000150515523000017.htm,0001505155,"Upland Software, Inc.",401 Congress Ave.,Austin,Texas,78701,UPLD,The Nasdaq Global Market,
03/000182314423000006.htm,0001823144,"CompoSecure, Inc.",309 Pierce Street,Somerset,New Jersey,08873,CMPO,The Nasdaq Global Market,exhibit211-listofsubsidiar.htm
03/000155837023005304.htm,0000812796,"SOLIGENIX, INC.",29 EMMONS DRIVE,PRINCETON,NJ,08540,SNGX,Nasdaq,
03/000156189423000076.htm,0001561894,"HANNON ARMSTRONG SUSTAINABLEINFRASTRUCTURE CAPITAL, INC.",One Park Place,Annapolis,MD,21401,HASI,New York Stock Exchange,
03/000001484623000005.htm,0000014846,BRT APARTMENTS CORP.,60 Cutter Mill Road,Great Neck,New York,11021,BRT,New York Stock Exchange,exhibit211123122.htm
03/000185643723000013.htm,0001856437,VICTORIA'S SECRET & CO.,"4 Limited Parkway East,","Reynoldsburg,",Ohio,43068,VSCO,The New York Stock Exchange,
03/000188852423003064.htm,0001729832,,,,,,,,
03/000188852423003368.htm,0001889297,,,,,,,,
03/000095017023011357.htm,0001814215,"NUBURU, INC.",7442 S Tucson Way,Centennial,CO,80112,BURU,NYSE American,
03/000155837023005147.htm,0000928340,CONSOLIDATED WATER CO. LTD.,Regatta Office Park,Grand Cayman,,KY1-1102,CWCO,NASDAQ,
03/000153871623000035.htm,0001538716,OPORTUN FINANCIAL CORPORATION,2 Circle Star Way,"San Carlos,",CA,94070,OPRT,Nasdaq Global Select Market,
03/000143774923008864.htm,0000946486,WINDTREE THERAPEUTICS INC /DE/,"2600 Kelly Road, Suite 100",Warrington,Pennsylvania,18976-3622,WINT,Nasdaq,
03/000172243823000040.htm,0001722438,"Doma Holdings, Inc.",101 Mission Street,San Francisco,California,94105,DOMA,The New York Stock Exchange,
03/000155837023002596.htm,0001819928,"DoubleVerify Holdings, Inc.",462 Broadway,New York,NY,10013,DV,New York Stock Exchange,
03/000155837023003738.htm,0001526119,"Verastem, Inc.","117 Kendrick Street, Suite 500",Needham,Massachusetts,02494,VSTM,Nasdaq Global Market,
03/000156067223000021.htm,0001560672,Ellington Residential Mortgage REIT,53 Forest Avenue,Old Greenwich,Connecticut,06870,EARN,The New York Stock Exchange,
03/000159929823000034.htm,0001599298,Summit Therapeutics Inc.,"2882 Sand Hill Road, Suite 106","Menlo Park,",CA,94025,SMMT,The Nasdaq Stock Market LLC,
03/000114036123015247.htm,0001510874,,,,,,,,
03/000109690623000699.htm,0001630176,"Healthy Extracts, Inc.",7375 Commercial Way,Henderson,NV,89011,,,
